objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
js_001,,Letter from Rose to Sara,Rose,3/14/1905,"The HLBS played a major role in tzedakah, performing social services and charitable giving. In addition to supporting the local charities through their dues and fundraising, the HLBS also donated to national organizations, including the Cleveland Jewish Orphan Asylum, Denver hospitals, and the Hebrew Union College in Cincinnati. During the depression they assisted unhoused Jews passing through Topeka. They would provide meals, a place to sleep for a night, and a bus or train ticket to a major city-Kansas City or Denver—which had greater resources to provide assistance.",hbls;letters;tzedakah;kosher food,"Topeka, Kansas",39.05463134,-95.6720889,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_001.jpg,https://jewishkansans.org/objects/thumbs/tn_js_001.jpg,https://jewishkansans.org/objects/thumbs/tn_js_001.jpg,cream discolored envelope with handwritten note and printed address for Scrinopskie's Loan Office,"RETURN IN 5 DAYS TO
Scrinopskie’s Loan Office
410 Kansas Avenue
Topeka Kansas

Dear Sara,
 The hungry are sure being fed if I counted correctly there are 21 meals. Please send them a check, for arrival.
Rose."
js_002,,Milk bottle,Lawrence Sanitary Milk and Ice Cream Co.,,Lawrence Sanitary Milk and Ice Cream Co. Ask for Varsity Velvet Ice Cream (location given in https://thewatkinsmuseum.wordpress.com/2015/09/17/the-finest-and-purest-milk-the-lawrence-sanitary-milk-and-ice-cream-company/),kosher food,"Lawrence, Kansas",38.97345801,-95.23753965,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_002.jpg,https://jewishkansans.org/objects/thumbs/tn_js_002.jpg,https://jewishkansans.org/objects/thumbs/tn_js_002.jpg,empty milk bottle with printed logo,"Lawrence Sanitary Milk and Ice Cream Co.

ASK FOR VARSITY VELVET ICE CREAM"
js_003,,Chabad KU Kippah,KU Chabad,,,kippah,"Lawrence, Kansas",,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_003.jpg,https://jewishkansans.org/objects/thumbs/tn_js_003.jpg,https://jewishkansans.org/objects/thumbs/tn_js_003.jpg,red and navy blue kippah with jayhawk logo,
js_004,,KU Hillel Kippah,KU Hillel,,,kippah,"Lawrence, Kansas",,,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_004.jpg,https://jewishkansans.org/objects/thumbs/tn_js_004.jpg,https://jewishkansans.org/objects/thumbs/tn_js_004.jpg,blue kippah with visible stitching and an imprint for KU Hillel,"קנזס
KU HILLEL"
js_005,,Jacobsons Grocery Bag,Jacobson's Grocery,,,kosher food,"Prairie Village, Kansas",38.95741069,-94.64557367,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_005.jpeg,https://jewishkansans.org/objects/thumbs/tn_js_005.jpeg,https://jewishkansans.org/objects/thumbs/tn_js_005.jpeg,yellow and black grocery bag printed with information for Jacobsons Strictly Kosher Foods,"JACOBSONS
Strictly Kosher Foods
5200 W. 95th Street
Prairie Village, Kansas 66207
(913) 648-3880
BUTCHER – GROCERY – DELI – CATERING "
js_006a,,The Joy of Jewish Cooking Cookbook,Jewish Community Women,5/22/1905,"In 1969, 19 Jewish women prepared a local cookbook and printed it at the World Company Printers in Lawrence. In their preface, they described the joy felt in sharing these recipes, as well as the difficulties associated with writing down specific directions. Often, their recipes were based on oral lessons, where a mother or grandmother would teach her daughters through verbal direction and practice. Many of the measurements were originally based on gut feeling, rather than exact measurements.",kosher food; cookbook,"Lawrence, Kansas",38.95741069,-94.64557367,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/NKC/1.0/?language=en,multiple,https://jewishkansans.org/objects/js_006a.jpg,https://jewishkansans.org/objects/thumbs/tn_js_006a.jpg,https://jewishkansans.org/objects/thumbs/tn_js_006a.jpg,"Aged cover of a spiral bound book, with a line image of a woman stirring a pot",The Joy of Jewish Cooking
js_006b,js_006a,The Joy of Jewish Cooking Cookbook Preface,Jewish Community Women,5/22/1905,,kosher food; cookbook,"Lawrence, Kansas",38.95741069,-94.64557367,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_006b.jpg,https://jewishkansans.org/objects/thumbs/tn_js_006b.jpg,https://jewishkansans.org/objects/thumbs/tn_js_006b.jpg,An open spiral-bound book with text on one side ,
js_006c,js_006a,The Joy of Jewish Cooking Cookbook Pages 2-3,Jewish Community Women,5/22/1905,,kosher food; cookbook,"Lawrence, Kansas",38.95741069,-94.64557367,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_043.jpg,https://jewishkansans.org/objects/thumbs/tn_js_006c.jpg,https://jewishkansans.org/objects/thumbs/tn_js_006c.jpg,An open spiral-bound book with a narrative written by the Jewish Community Women of Kansas,
js_006d,js_006a,The Joy of Jewish Cooking Cookbook Contributors,Jewish Community Women,5/22/1905,,kosher food; cookbook,"Lawrence, Kansas",38.95741069,-94.64557367,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_006c.jpg,https://jewishkansans.org/objects/thumbs/tn_js_006d.jpg,https://jewishkansans.org/objects/thumbs/tn_js_006d.jpg,An open spiral-bound book with paragraphs on one side and a list of contributors on the other,
js_007,,"Envelope with contents addressed to Mrs S. Galilizki 1185 College, Topeka Kans",,5/5/1931,,letters,"Topeka, Kansas",39.04654068,-95.70051361,Dr. David Katzman and Sharyn Brooks Katzman,,Image;StillImage,image/jpeg,eng,,https://rightsstatements.org/page/NKC/1.0/?language=en,image,https://jewishkansans.org/objects/js_006d.jpg,https://jewishkansans.org/objects/thumbs/tn_js_007.jpg,https://jewishkansans.org/objects/thumbs/tn_js_007.jpg,"Yellowed envelope with an address, a postmark, and a two cent stamp","TOPEKA KANS. 12 M May 5 1931 
Mrs Sara Galilzke
1185 College Ave.
Topeka Kans."
